timestamp,date,hour,store_id,store_city,store_format,sku_id,on_hand_units,on_shelf_units,backroom_units,planogram_capacity_units,pos_sales_units,returns_units,waste_units,stockout_flag,stockout_minutes_in_hour,price,promo_flag,promo_type,footfall_count,delivery_received_flag,sku_name,category,shelf_life_days,base_demand_index
2025-12-01 00:00:00,2025-12-01,0,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,353,123,230,123,1,0,47,N,0,4.69,1,discount,79,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 01:00:00,2025-12-01,1,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,305,123,182,123,3,0,28,N,0,5.57,1,BOGO,102,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 02:00:00,2025-12-01,2,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,274,123,151,123,2,2,0,N,0,3.97,0,,172,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 03:00:00,2025-12-01,3,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,272,123,149,123,2,0,47,N,0,4.12,0,,123,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 04:00:00,2025-12-01,4,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,223,123,100,123,5,1,27,N,0,6.45,0,,166,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 05:00:00,2025-12-01,5,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,191,123,68,123,6,0,0,N,0,6.21,0,,148,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 06:00:00,2025-12-01,6,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,297,123,174,123,10,0,20,N,0,5.1,0,,181,1,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 07:00:00,2025-12-01,7,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,267,123,144,123,5,1,35,N,0,3.78,0,,151,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 08:00:00,2025-12-01,8,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,227,123,104,123,4,0,0,N,0,5.33,0,,164,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 09:00:00,2025-12-01,9,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,223,123,100,123,4,0,11,N,0,6.73,0,,142,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 10:00:00,2025-12-01,10,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,208,123,85,123,1,0,14,N,0,3.68,0,,87,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 11:00:00,2025-12-01,11,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,193,123,70,123,6,1,3,N,0,4.83,0,,280,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 12:00:00,2025-12-01,12,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,184,123,61,123,2,0,16,N,0,5.91,0,,267,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 13:00:00,2025-12-01,13,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,166,123,43,123,1,0,3,N,0,6.69,0,,309,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 14:00:00,2025-12-01,14,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,162,123,39,123,3,0,13,N,0,6.83,0,,209,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 15:00:00,2025-12-01,15,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,146,123,23,123,1,0,16,N,0,3.98,0,,152,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 16:00:00,2025-12-01,16,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,129,123,6,123,1,0,15,N,0,6.63,0,,179,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 17:00:00,2025-12-01,17,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,113,113,0,123,5,0,16,N,0,6.03,0,,165,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 18:00:00,2025-12-01,18,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,92,92,0,123,7,0,8,N,0,4.9,0,,282,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 19:00:00,2025-12-01,19,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,77,77,0,123,8,0,6,N,0,5.76,0,,384,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 20:00:00,2025-12-01,20,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,205,123,82,123,5,0,13,N,0,4.5,0,,329,1,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 21:00:00,2025-12-01,21,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,187,123,64,123,13,1,10,N,0,4.12,0,,280,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 22:00:00,2025-12-01,22,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,164,123,41,123,6,0,19,N,0,4.77,0,,311,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-01 23:00:00,2025-12-01,23,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,139,123,16,123,2,0,8,N,0,4.62,0,,198,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 00:00:00,2025-12-02,0,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,129,123,6,123,2,0,22,N,0,3.58,0,,108,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 01:00:00,2025-12-02,1,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,105,105,0,123,3,0,4,N,0,6.68,0,,185,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 02:00:00,2025-12-02,2,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,98,98,0,123,0,0,6,N,0,4.34,0,,182,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 03:00:00,2025-12-02,3,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,92,92,0,123,4,1,4,N,0,6.09,0,,268,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 04:00:00,2025-12-02,4,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,84,84,0,123,1,3,12,N,0,5.48,0,,206,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 05:00:00,2025-12-02,5,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,71,71,0,123,0,0,6,N,0,4.11,0,,106,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 06:00:00,2025-12-02,6,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,65,65,0,123,5,0,4,N,0,6.95,0,,180,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 07:00:00,2025-12-02,7,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,56,56,0,123,0,1,4,N,0,3.5,0,,76,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 08:00:00,2025-12-02,8,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,52,52,0,123,5,0,2,N,0,4.29,0,,214,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 09:00:00,2025-12-02,9,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,45,45,0,123,4,0,0,N,0,4.29,0,,127,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 10:00:00,2025-12-02,10,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,41,41,0,123,0,0,3,N,0,6.04,0,,138,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 11:00:00,2025-12-02,11,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,38,38,0,123,4,0,2,N,0,6.53,0,,287,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 12:00:00,2025-12-02,12,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,32,32,0,123,4,0,2,N,0,4.41,0,,289,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 13:00:00,2025-12-02,13,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,135,123,12,123,4,0,4,N,0,3.86,0,,271,1,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 14:00:00,2025-12-02,14,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,127,123,4,123,3,0,7,N,0,6.92,0,,268,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 15:00:00,2025-12-02,15,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,238,123,115,123,0,0,21,N,0,4.46,0,,64,1,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 16:00:00,2025-12-02,16,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,217,123,94,123,0,0,28,N,0,5.62,0,,139,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 17:00:00,2025-12-02,17,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,323,123,200,123,6,0,0,N,0,5.82,0,,144,1,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 18:00:00,2025-12-02,18,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,317,123,194,123,10,0,27,N,0,6.5,0,,276,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 19:00:00,2025-12-02,19,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,280,123,157,123,7,0,0,N,0,5.53,0,,276,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 20:00:00,2025-12-02,20,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,273,123,150,123,5,0,21,N,0,5.85,0,,307,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 21:00:00,2025-12-02,21,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,247,123,124,123,10,0,16,N,0,5.27,0,,380,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 22:00:00,2025-12-02,22,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,221,123,98,123,2,0,14,N,0,5.95,0,,324,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-02 23:00:00,2025-12-02,23,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,205,123,82,123,2,0,26,N,0,3.61,0,,113,0,White Sandwich Loaf,Fresh Bread,3,0.8
2025-12-03 00:00:00,2025-12-03,0,ST_RIYADH_MALL_01,Riyadh,mall,SKU_101,177,123,54,123,3,0,7,N,0,6.23,0,,127,0,White Sandwich Loaf,Fresh Bread,3,0.8
